Skill group,Skill component,Stage,Task,Domain
ORGANISATIONAL SKILLS,Knowledge brokering,Identification,Knowledge Management,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Identification,Knowledge Management,Entrepreneurship
RELATIONAL SKILLS,Collaboration,Identification,Knowledge Management,Entrepreneurship
RELATIONAL SKILLS,Communication,Identification,Knowledge Management,Entrepreneurship
CONCEPTUAL SKILLS,Creativity,Development,Marketing,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Marketing,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Empathy,Development,Marketing,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Development,Marketing,Entrepreneurship
EVALUATIVE SKILLS,Environment scanning,Development,Marketing,Entrepreneurship
RELATIONAL SKILLS,Collaboration,Development,Marketing,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Marketing,Entrepreneurship
CONCEPTUAL SKILLS,Creativity,Development,Operations Management,Entrepreneurship
CONCEPTUAL SKILLS,Mental agility,Development,Operations Management,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Operations Management,Entrepreneurship
CONCEPTUAL SKILLS,Systems thinking,Development,Operations Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Development,Operations Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Development,Operations Management,Entrepreneurship
EVALUATIVE SKILLS,Comparative reasoning,Development,Operations Management,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Development,Operations Management,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Operations Management,Entrepreneurship
EVALUATIVE SKILLS,Problem solving,Development,Operations Management,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Development,Operations Management,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Development,Operations Management,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Development,Operations Management,Entrepreneurship
ORGANISATIONAL SKILLS,Prioritisation,Development,Operations Management,Entrepreneurship
ORGANISATIONAL SKILLS,Technical skills,Development,Operations Management,Entrepreneurship
RELATIONAL SKILLS,Delegation,Development,Operations Management,Entrepreneurship
RELATIONAL SKILLS,Feedback,Development,Operations Management,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Operations Management,Entrepreneurship
RELATIONAL SKILLS,Negotiation,Development,Operations Management,Entrepreneurship
CONCEPTUAL SKILLS,Synthesis,Identification,Opportunity Identification,Entrepreneurship
EVALUATIVE SKILLS,Comparative reasoning,Identification,Opportunity Identification,Entrepreneurship
EVALUATIVE SKILLS,Counterfactual thinking,Identification,Opportunity Identification,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Identification,Opportunity Identification,Entrepreneurship
EVALUATIVE SKILLS,Environment scanning,Identification,Opportunity Identification,Entrepreneurship
EVALUATIVE SKILLS,Pattern recognition,Identification,Opportunity Identification,Entrepreneurship
CONCEPTUAL SKILLS,Abstract thinking,Development,Organisational Development,Entrepreneurship
CONCEPTUAL SKILLS,Mental agility,Development,Organisational Development,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Organisational Development,Entrepreneurship
CONCEPTUAL SKILLS,Synthesis,Development,Organisational Development,Entrepreneurship
CONCEPTUAL SKILLS,Systems thinking,Development,Organisational Development,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Empathy,Development,Organisational Development,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Development,Organisational Development,Entrepreneurship
